ParticipantID,Session-number,BlockID,time-stamp,x,z
00,1,2,420.5923,-10.10965,8.791944
00,1,2,420.7038,-10.10965,8.886013
00,1,2,420.8156,-10.10965,9.293458
00,1,2,420.9276,-10.10965,9.293458
00,1,2,421.0395,-10.10965,9.293458
00,1,2,421.1509,-10.10965,9.293458
00,1,2,421.2625,-10.10965,9.293458
00,1,2,421.3744,-10.10965,9.293458
00,1,2,421.4861,-10.10965,9.293458
00,1,2,421.5976,-10.10965,9.293458
00,1,2,421.7096,-10.12492,9.303724
00,1,2,421.8211,-10.16784,9.334898
00,1,2,421.9326,-10.16784,9.334898
00,1,2,422.0443,-10.16784,9.334898
00,1,2,422.1563,-10.29539,9.334898
00,1,2,422.2677,-10.29539,9.334898
00,1,2,422.3797,-10.29539,9.334898
00,1,2,422.4913,-10.37101,9.3866
00,1,2,422.6031,-10.4798,9.452287
00,1,2,422.7145,-10.4798,9.452287
00,1,2,422.8263,-10.4798,9.452287
00,1,2,422.9379,-10.46908,9.435101
00,1,2,423.0497,-10.32148,9.370329
00,1,2,423.1613,-10.32148,9.370329
00,1,2,423.2732,-10.32148,9.370329
00,1,2,423.3853,-10.16832,9.256276
00,1,2,423.4965,-10.01015,9.145445
00,1,2,423.6082,-10.01015,9.145445
00,1,2,423.7199,-9.910271,9.145445
00,1,2,423.8319,-9.436307,9.145445
00,1,2,423.9438,-9.436307,9.145445
00,1,2,424.0552,-9.436307,9.145445
00,1,2,424.1671,-9.436307,9.145445
00,1,2,424.2788,-9.233018,9.118222
00,1,2,424.39,-9.233018,9.118222
00,1,2,424.5018,-9.233018,9.118222
00,1,2,424.6136,-9.233018,9.118222
00,1,2,424.7252,-9.233018,9.118222
00,1,2,424.8369,-9.233018,9.118222
00,1,2,424.9489,-9.233018,9.118222
00,1,2,425.0603,-9.264862,9.033116
00,1,2,425.1718,-9.264862,9.033116
00,1,2,425.2835,-9.264862,9.033116
00,1,2,425.3954,-9.517613,9.094722
00,1,2,425.5071,-9.517613,9.094722
00,1,2,425.6189,-9.517613,9.094722
00,1,2,425.7307,-9.517613,9.124683
00,1,2,425.8422,-9.517613,9.124683
00,1,2,425.9538,-9.517613,9.124683
00,1,2,580.5166,0,0
00,1,2,580.6281,0,0
00,1,2,580.7398,0,0
00,1,2,580.8517,0,0
00,1,2,580.9633,0,0
00,1,2,581.075,0,0
00,1,2,581.1868,0,0
00,1,2,581.2982,0,0
00,1,2,581.4101,0,0
00,1,2,581.5219,0,0
00,1,2,581.6338,0,0
00,1,2,581.7452,0,0
00,1,2,581.8572,0,0
00,1,2,581.9686,0,0
00,1,2,582.0803,0,0
00,1,2,582.192,0,0
00,1,2,582.3036,0.03107357,0.05509186
00,1,2,582.4154,0.3574791,0.4683032
00,1,2,582.5273,0.7050366,0.9030952
00,1,2,582.639,1.019763,1.365054
00,1,2,582.7509,1.224047,1.897932
00,1,2,582.863,1.347787,2.453485
00,1,2,582.9739,1.463087,3.009038
00,1,2,583.0854,1.577852,3.564592
00,1,2,583.1971,1.692617,4.120146
00,1,2,583.3091,1.807382,4.6757
00,1,2,583.4213,1.922147,5.231253
00,1,2,583.5325,2.036912,5.786807
00,1,2,583.6439,2.151678,6.34236
00,1,2,583.7556,2.277919,6.953469
00,1,2,583.8676,2.392684,7.509022
00,1,2,583.9792,2.50745,8.064576
00,1,2,584.0908,2.622215,8.62013
00,1,2,584.2027,2.73698,9.175683
00,1,2,584.3151,2.851369,9.731236
00,1,2,584.4261,2.887626,10.28679
00,1,2,584.5377,2.887626,10.84234
00,1,2,584.6494,2.887626,11.3979
00,1,2,584.7612,2.887626,11.95345
00,1,2,584.8732,2.887626,12.509
00,1,2,584.9846,2.887626,13.06456
00,1,2,585.0963,2.88184,13.62011
00,1,2,585.2079,2.859201,14.17566
00,1,2,585.3195,2.834299,14.73122
00,1,2,585.4313,2.807948,15.28677
00,1,2,585.543,2.732012,15.81564
00,1,2,585.6547,2.630361,15.91951
00,1,2,585.7665,2.630361,15.91951
00,1,2,585.8786,2.630361,15.91951
00,1,2,585.9898,2.613451,15.70666
00,1,2,586.1016,2.525928,15.15454
00,1,2,586.2133,2.481558,15.03555
00,1,2,586.325,2.481558,15.03555
00,1,2,586.4369,2.223757,15.29903
00,1,2,586.5483,2.151147,15.37564
00,1,2,586.6605,2.151147,15.37564
00,1,2,586.7716,2.151147,15.37564
00,1,2,586.8839,2.151147,15.75276
00,1,2,586.9954,2.151147,15.75276
00,1,2,587.1071,2.151147,15.75276
00,1,2,587.2185,2.151147,15.75276
00,1,2,587.3303,2.151147,15.75276
00,1,2,587.4421,2.151147,15.75276
00,1,2,587.5537,2.151147,15.75276
00,1,2,587.6653,2.151147,15.75276
00,1,2,587.7771,2.151147,15.75276
00,1,2,587.8889,2.212783,15.56357
00,1,2,588.0005,2.212783,15.56357
00,1,2,588.1121,2.212783,15.56357
00,1,2,588.2241,2.212783,15.56357
00,1,2,588.3356,2.292493,15.51032
00,1,2,588.4474,2.326898,15.48248
00,1,2,588.559,2.326898,15.48248
00,1,2,588.6705,2.326898,15.48248
00,1,2,588.7823,2.326898,15.48248
00,1,2,588.8944,2.326898,15.48248
00,1,2,589.0062,2.326898,15.48248
00,1,2,589.1177,2.326898,15.48248
00,1,2,589.229,2.326898,15.48248
00,1,2,589.3412,2.326898,15.48248
00,1,2,589.4526,2.326898,15.48248
00,1,2,589.5643,2.324255,15.48248
00,1,2,589.676,2.306253,15.48248
00,1,2,589.788,2.306253,15.48248
00,1,2,589.8997,2.306253,15.48248
00,1,2,590.0112,2.306253,15.48248
00,1,2,590.1229,2.306253,15.48248
00,1,2,590.2345,2.306253,15.47909
00,1,2,590.3463,2.306253,15.2384
00,1,2,590.4581,2.306253,15.113
00,1,2,590.5698,2.306253,15.113
00,1,2,590.6816,2.306253,15.113
00,1,2,590.793,2.306253,15.113
00,1,2,590.905,2.209995,15.113
00,1,2,591.0164,2.158923,15.113
00,1,2,591.1282,2.158923,15.113
00,1,2,591.2402,2.086245,15.113
00,1,2,591.3517,1.577066,15.113
00,1,2,591.4635,1.314966,15.113
00,1,2,591.5751,1.314966,15.113
00,1,2,591.6872,1.314966,15.113
00,1,2,591.7985,1.189094,15.0852
00,1,2,591.9103,1.130434,15.03097
00,1,2,592.0217,1.130434,15.03097
00,1,2,592.1336,1.130434,15.03097
00,1,2,592.2455,1.130434,15.03097
00,1,2,592.357,1.130434,15.03097
00,1,2,592.4686,1.130434,15.03097
00,1,2,592.5803,1.130434,15.03097
00,1,2,592.692,1.130434,15.03097
00,1,2,592.8037,1.130434,15.03097
00,1,2,592.9158,1.130434,15.03097
00,1,2,593.0271,1.141328,15.03097
00,1,2,593.1387,1.141328,15.03097
00,1,2,593.2508,1.141328,15.03097
00,1,2,593.3624,1.141328,15.03097
00,1,2,593.4742,1.141328,15.03097
00,1,2,593.5855,1.141328,15.03097
00,1,2,593.6973,1.141328,15.03097
00,1,2,593.809,1.141328,15.03097
00,1,2,593.9208,1.141328,15.03097
00,1,2,594.0324,1.141328,15.03097
00,1,2,594.144,1.156986,15.03097
00,1,2,594.2557,1.35362,14.9263
00,1,2,594.3673,1.35362,14.9263
00,1,2,594.4794,1.35362,14.9263
00,1,2,594.5909,1.35362,14.65956
00,1,2,594.7025,1.35362,14.65956
00,1,2,594.8143,1.35362,14.65956
00,1,2,594.9264,1.367855,14.32623
00,1,2,595.0378,1.403795,14.21033
00,1,2,595.1495,1.403795,14.21033
00,1,2,595.2614,1.403795,14.21033
00,1,2,595.3727,1.403795,14.21033
00,1,2,595.4845,1.403795,14.21033
00,1,2,595.5964,1.520798,14.05451
00,1,2,595.7079,1.520798,14.05451
00,1,2,595.8196,1.520798,14.05451
00,1,2,595.9317,1.520798,14.05451
00,1,2,596.0432,1.431941,14.05451
00,1,2,596.1546,1.431941,14.05451
00,1,2,596.2668,1.431941,14.05451
